action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV
move,auto_leave,,,,43,0,2,,0.0,0,,0.0,140.0,136.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,43,0,2,136.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,44,1,2,,0.0,0,,0.0,136.0,132.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,44,1,2,132.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,45,2,2,,0.0,0,,0.0,132.0,128.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,45,2,2,128.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,46,2,1,,0.0,0,,0.0,128.0,124.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,46,2,1,124.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,47,2,2,,0.0,0,,0.0,124.0,120.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.2592, 0.7408]","[0.2, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,47,2,2,120.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,48,2,1,,0.0,0,,0.0,120.0,116.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,48,2,1,116.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,49,2,0,,0.0,0,,0.0,116.0,112.0,-0.2,0.16666666666666663,,False,True,0.0,poor,poor,,,,,,poor,"[0.2592, 0.7408]","[0.2, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,49,2,0,112.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,50,1,0,,0.0,0,,0.0,112.0,108.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,50,1,0,108.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,51,2,0,,0.0,0,,0.0,108.0,104.0,-0.2,0.16666666666666663,,False,True,0.0,poor,poor,,,,,,poor,"[0.7408, 0.2592]","[0.5, 0.2]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,51,2,0,104.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,52,1,0,,0.0,0,,0.0,104.0,100.0,-0.2,0.16666666666666663,,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",312.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,52,1,0,100.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
